RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          479     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
 2134 2493     0     0  con    0  1.0D+00  2.4D-03  1.195D-08  1.676D-09
 2135 2494     0     0  con    0  1.0D+00  6.0D-03  1.562D-08  1.674D-09
 2136 2495     0     0  con    0  1.0D+00  8.6D-03  2.429D-08  1.674D-09
 2137 2496     0     0  con    0  1.0D+00  7.4D-03  1.512D-08  1.671D-09
 2138 2497     0     0  con    0  1.0D+00  3.0D-03  1.329D-08  1.670D-09
 2139 2498     0     0  con    0  1.0D+00  8.5D-03  1.594D-08  1.668D-09
 2140 2500     0     0  con    1  4.7D-01  5.1D-04  2.180D-08  1.668D-09
 2141 2501     0     0  con    0  1.0D+00  1.5D-03  1.558D-08  1.667D-09
 2142 2502     0     0  con    0  1.0D+00  6.9D-04  5.374D-09  1.665D-09
 2143 2504     0     0  con    1  4.4D-01  2.6D-03  2.325D-08  1.665D-09
 2144 2505     0     0  con    0  1.0D+00  5.0D-04  1.249D-08  1.664D-09
 2145 2506     0     0  con    0  1.0D+00  3.2D-03  5.079D-09  1.663D-09
 2146 2507     0     0  con    0  1.0D+00  8.0D-03  2.575D-09  1.663D-09
 2147 2508     0     0  con    0  1.0D+00  4.0D-03  3.409D-09  1.662D-09
 2148 2510     0     0  con    1  8.1D-02  1.0D-03  3.034D-09  1.662D-09
 2149 2517     0     0  con    6  3.3D-02  3.5D-05  2.990D-09  1.662D-09
 2150 2518     0     0  con    0  1.0D+00  1.5D-03  4.153D-09  1.662D-09
 2151 2520     0     0  con    1  2.4D-01  6.4D-04  7.362D-09  1.662D-09
 2152 2521     0     0  con    0  1.0D+00  6.9D-05  6.896D-09  1.662D-09
 2153 2522     0     0  con    0  1.0D+00  1.3D-03  5.568D-09  1.662D-09
 2154 2523     0     0  con    0  1.0D+00  1.7D-03  9.704D-09  1.661D-09
 2155 2525     0     0  con    1  2.1D-01  2.0D-03  1.111D-08  1.661D-09
 2156 2526     0     0  con    0  1.0D+00  3.2D-03  7.997D-09  1.660D-09
 2157 2527     0     0  con    0  1.0D+00  3.1D-03  5.828D-09  1.660D-09
 2158 2528     0     0  con    0  1.0D+00  7.3D-03  2.387D-08  1.659D-09
 2159 2529     0     0  con    0  1.0D+00  2.2D-03  9.496D-09  1.658D-09
 2160 2530     0     0  con    0  1.0D+00  8.9D-04  7.670D-09  1.658D-09
 2161 2531     0     0  con    0  1.0D+00  3.8D-03  7.539D-09  1.658D-09
 2162 2532     0     0  con    0  1.0D+00  2.5D-03  6.274D-09  1.658D-09
 2163 2533     0     0  con    0  1.0D+00  2.5D-03  3.094D-09  1.658D-09
 2164 2534     0     0  con    0  1.0D+00  3.9D-03  6.190D-09  1.657D-09
 2165 2535     0     0  con    0  1.0D+00  9.1D-04  1.038D-08  1.657D-09
 2166 2536     0     0  con    0  1.0D+00  1.1D-03  5.227D-09  1.657D-09
 2167 2537     0     0  con    0  1.0D+00  1.2D-03  4.285D-09  1.657D-09
 2168 2538     0     0  con    0  1.0D+00  1.5D-03  2.570D-09  1.656D-09
 2169 2539     0     0  con    0  1.0D+00  2.8D-04  3.159D-09  1.656D-09
 2170 2541     0     0  con    1  2.8D-01  2.1D-04  2.861D-09  1.656D-09
 2171 2543     0     0  con    1  2.6D-01  2.1D-04  2.315D-09  1.656D-09
 2172 2545     0     0  con    1  2.3D-01  3.0D-04  2.171D-09  1.656D-09
 2173 2546     0     0  con    0  1.0D+00  1.4D-03  3.322D-09  1.656D-09
 2174 2554     0     0  con    7  7.3D-03  9.7D-06  3.323D-09  1.656D-09
 2175 2555     0     0  con    0  1.0D+00  2.9D-03  4.175D-09  1.656D-09
 2176 2556     0     0  con    0  1.0D+00  2.9D-03  1.284D-08  1.656D-09
 2177 2557     0     0  con    0  1.0D+00  4.2D-03  1.524D-08  1.656D-09
 2178 2559     0     0  con    1  1.6D-01  7.5D-04  1.247D-08  1.655D-09
 2179 2560     0     0  con    0  1.0D+00  2.3D-03  2.377D-09  1.655D-09
 2180 2561     0     0  con    0  1.0D+00  4.3D-04  1.033D-09  1.655D-09
 2181 2562     0     0  con    0  1.0D+00  6.3D-04  2.366D-09  1.655D-09
 2182 2563     0     0  con    0  1.0D+00  4.5D-04  5.724D-09  1.655D-09
 2183 2564     0     0  con    0  1.0D+00  5.0D-04  3.961D-09  1.655D-09
 2184 2565     0     0  con    0  1.0D+00  2.2D-04  6.102D-09  1.655D-09
 2185 2566     0     0  con    0  1.0D+00  2.1D-04  4.491D-09  1.655D-09
 2186 2584     0     0  con   17  2.5D-09  1.5D-12  4.491D-09  1.655D-09
 2187 2586     0     0  con    1  1.9D-01  3.3D-04  4.152D-09  1.655D-09
 2188 2587     0     0  con    0  1.0D+00  1.8D-03  6.028D-09  1.655D-09
 2189 2588     0     0  con    0  1.0D+00  1.5D-03  1.150D-08  1.655D-09
 2190 2589     0     0  con    0  1.0D+00  2.4D-03  5.407D-09  1.654D-09
 2191 2590     0     0  con    0  1.0D+00  1.6D-03  4.775D-09  1.654D-09
 2192 2591     0     0  con    0  1.0D+00  1.2D-03  6.093D-09  1.654D-09
 2193 2592     0     0  con    0  1.0D+00  8.2D-04  3.588D-09  1.653D-09
 2194 2594     0     0  con    1  1.6D-01  6.7D-05  4.163D-09  1.653D-09
 2195 2595     0     0  con    0  1.0D+00  1.0D-04  4.168D-09  1.653D-09
 2196 2596     0     0  con    0  1.0D+00  9.6D-05  4.481D-09  1.653D-09
 2197 2597     0     0  con    0  1.0D+00  1.6D-04  1.334D-09  1.653D-09
 2198 2601     0     0  con    3  3.2D-01  1.4D-04  2.544D-09  1.653D-09
 2199 2602     0     0  con    0  1.0D+00  1.1D-03  8.766D-09  1.653D-09
 2200 2603     0     0  con    0  1.0D+00  7.4D-04  1.141D-08  1.653D-09
 2201 2604     0     0  con    0  1.0D+00  1.7D-03  1.194D-08  1.653D-09
 2202 2606     0     0  con    1  1.2D-01  2.7D-04  1.761D-08  1.653D-09
 2203 2607     0     0  con    0  1.0D+00  9.9D-04  7.875D-09  1.653D-09
 2204 2608     0     0  con    0  1.0D+00  5.3D-04  6.285D-09  1.652D-09
 2205 2609     0     0  con    0  1.0D+00  2.7D-04  1.567D-08  1.652D-09
 2206 2610     0     0  con    0  1.0D+00  3.0D-04  2.426D-08  1.651D-09
 2207 2611     0     0  con    0  1.0D+00  8.3D-04  2.715D-08  1.650D-09
 2208 2613     0     0  con    1  3.2D-01  7.0D-04  2.222D-08  1.650D-09
 2209 2614     0     0  con    0  1.0D+00  9.5D-04  1.202D-08  1.649D-09
 2210 2615     0     0  con    0  1.0D+00  9.8D-04  6.504D-09  1.648D-09
 2211 2616     0     0  con    0  1.0D+00  1.4D-03  1.878D-08  1.648D-09
 2212 2617     0     0  con    0  1.0D+00  1.7D-03  2.613D-08  1.647D-09
 2213 2618     0     0  con    0  1.0D+00  4.1D-03  3.965D-08  1.647D-09
 2214 2619     0     0  con    0  1.0D+00  2.2D-03  1.170D-08  1.646D-09
 2215 2620     0     0  con    0  1.0D+00  8.0D-04  3.013D-09  1.646D-09
 2216 2621     0     0  con    0  1.0D+00  1.3D-04  4.167D-09  1.646D-09
 2217 2622     0     0  con    0  1.0D+00  2.6D-04  8.466D-09  1.646D-09
 2218 2623     0     0  con    0  1.0D+00  5.2D-04  1.299D-08  1.646D-09
 2219 2625     0     0  con    1  3.0D-01  4.8D-04  1.894D-08  1.645D-09
 2220 2626     0     0  con    0  1.0D+00  5.5D-04  1.631D-08  1.645D-09
 2221 2627     0     0  con    0  1.0D+00  8.0D-04  9.315D-09  1.645D-09
 2222 2628     0     0  con    0  1.0D+00  8.2D-04  8.053D-09  1.645D-09
 2223 2629     0     0  con    0  1.0D+00  1.3D-03  1.498D-08  1.644D-09
 2224 2630     0     0  con    0  1.0D+00  2.2D-03  2.076D-08  1.643D-09
 2225 2631     0     0  con    0  1.0D+00  3.8D-03  5.283D-08  1.642D-09
 2226 2632     0     0  con    0  1.0D+00  2.9D-03  3.112D-08  1.641D-09
 2227 2633     0     0  con    0  1.0D+00  1.1D-03  1.241D-08  1.640D-09
 2228 2634     0     0  con    0  1.0D+00  1.3D-03  4.800D-09  1.639D-09
 2229 2635     0     0  con    0  1.0D+00  8.2D-04  3.206D-09  1.638D-09
 2230 2636     0     0  con    0  1.0D+00  1.2D-03  7.788D-09  1.638D-09
 2231 2638     0     0  con    1  4.8D-01  5.9D-04  7.924D-09  1.638D-09
 2232 2639     0     0  con    0  1.0D+00  4.0D-04  4.078D-09  1.638D-09
 2233 2640     0     0  con    0  1.0D+00  8.5D-04  5.237D-09  1.638D-09
 2234 2641     0     0  con    0  1.0D+00  6.6D-04  5.856D-09  1.637D-09
 2235 2642     0     0  con    0  1.0D+00  6.4D-04  1.117D-08  1.637D-09
 2236 2644     0     0  con    1  2.6D-01  4.8D-04  2.212D-09  1.637D-09
 2237 2645     0     0  con    0  1.0D+00  2.8D-04  3.484D-09  1.637D-09
 2238 2646     0     0  con    0  1.0D+00  1.6D-04  1.374D-08  1.637D-09
 2239 2647     0     0  con    0  1.0D+00  2.9D-04  9.914D-09  1.637D-09
 2240 2648     0     0  con    0  1.0D+00  1.6D-03  1.150D-08  1.634D-09
 2241 2649     0     0  con    0  1.0D+00  1.7D-03  2.583D-08  1.632D-09
 2242 2651     0     0  con    1  3.2D-01  7.1D-04  1.342D-08  1.631D-09
 2243 2652     0     0  con    0  1.0D+00  2.2D-03  1.375D-08  1.630D-09
 2244 2653     0     0  con    0  1.0D+00  1.7D-03  1.554D-08  1.629D-09
 2245 2654     0     0  con    0  1.0D+00  3.8D-04  6.651D-09  1.628D-09
 2246 2655     0     0  con    0  1.0D+00  6.2D-04  5.161D-09  1.628D-09
 2247 2656     0     0  con    0  1.0D+00  1.7D-03  1.291D-08  1.627D-09
 2248 2658     0     0  con    1  1.1D-01  6.0D-04  1.267D-08  1.627D-09
 2249 2659     0     0  con    0  1.0D+00  1.9D-03  8.607D-09  1.626D-09
 2250 2660     0     0  con    0  1.0D+00  2.8D-03  2.677D-08  1.626D-09
 2251 2661     0     0  con    0  1.0D+00  5.2D-03  1.160D-08  1.625D-09
 2252 2662     0     0  con    0  1.0D+00  1.6D-03  5.217D-09  1.625D-09
 2253 2663     0     0  con    0  1.0D+00  3.4D-03  8.290D-09  1.624D-09
 2254 2665     0     0  con    1  3.7D-01  1.2D-03  7.496D-09  1.623D-09
 2255 2666     0     0  con    0  1.0D+00  1.1D-03  5.885D-09  1.623D-09
 2256 2667     0     0  con    0  1.0D+00  2.1D-03  4.253D-09  1.623D-09
 2257 2668     0     0  con    0  1.0D+00  3.7D-03  7.111D-09  1.622D-09
 2258 2669     0     0  con    0  1.0D+00  9.2D-03  1.465D-08  1.619D-09
 2259 2671     0     0  con    1  5.2D-01  5.2D-03  3.309D-08  1.618D-09
 2260 2672     0     0  con    0  1.0D+00  4.3D-03  1.328D-08  1.616D-09
 2261 2673     0     0  con    0  1.0D+00  1.1D-03  1.359D-09  1.615D-09
 2262 2674     0     0  con    0  1.0D+00  5.2D-04  1.414D-09  1.615D-09
 2263 2675     0     0  con    0  1.0D+00  4.6D-04  7.938D-09  1.615D-09
 2264 2676     0     0  con    0  1.0D+00  1.0D-04  3.451D-09  1.615D-09
 2265 2677     0     0  con    0  1.0D+00  1.1D-03  2.483D-09  1.615D-09
 2266 2678     0     0  con    0  1.0D+00  1.9D-03  6.527D-09  1.614D-09
 2267 2679     0     0  con    0  1.0D+00  2.1D-04  3.260D-09  1.614D-09
 2268 2680     0     0  con    0  1.0D+00  2.5D-04  3.422D-09  1.614D-09
 2269 2681     0     0  con    0  1.0D+00  4.2D-04  7.074D-09  1.614D-09
 2270 2682     0     0  con    0  1.0D+00  8.3D-04  1.165D-08  1.614D-09
 2271 2683     0     0  con    0  1.0D+00  9.8D-04  1.322D-08  1.614D-09
 2272 2685     0     0  con    1  2.8D-01  2.0D-04  1.369D-08  1.614D-09
 2273 2686     0     0  con    0  1.0D+00  6.6D-04  7.620D-09  1.614D-09
 2274 2687     0     0  con    0  1.0D+00  7.7D-04  2.843D-09  1.614D-09
 2275 2688     0     0  con    0  1.0D+00  5.0D-04  7.758D-09  1.614D-09
 2276 2689     0     0  con    0  1.0D+00  5.4D-04  9.023D-09  1.614D-09
 2277 2690     0     0  con    0  1.0D+00  2.2D-03  6.250D-09  1.614D-09
 2278 2692     0     0  con    1  3.5D-01  2.0D-03  9.990D-09  1.614D-09
 2279 2693     0     0  con    0  1.0D+00  1.1D-03  5.881D-09  1.613D-09
 2280 2694     0     0  con    0  1.0D+00  1.5D-03  6.553D-09  1.613D-09
 2281 2695     0     0  con    0  1.0D+00  6.7D-04  4.367D-09  1.613D-09
 2282 2696     0     0  con    0  1.0D+00  6.0D-04  2.585D-09  1.613D-09
 2283 2697     0     0  con    0  1.0D+00  7.7D-04  2.071D-09  1.613D-09
 2284 2698     0     0  con    0  1.0D+00  1.3D-03  3.951D-09  1.613D-09
 2285 2699     0     0  con    0  1.0D+00  1.5D-03  3.824D-09  1.613D-09
 2286 2701     0     0  con    1  4.8D-01  1.7D-03  1.281D-08  1.613D-09
 2287 2702     0     0  con    0  1.0D+00  1.0D-03  3.380D-09  1.612D-09
 2288 2703     0     0  con    0  1.0D+00  4.2D-04  3.406D-09  1.612D-09
 2289 2704     0     0  con    0  1.0D+00  4.9D-04  7.386D-09  1.612D-09
 2290 2705     0     0  con    0  1.0D+00  8.0D-04  5.921D-09  1.612D-09
 2291 2707     0     0  con    1  3.3D-01  1.8D-04  9.319D-09  1.612D-09
 2292 2708     0     0  con    0  1.0D+00  1.5D-03  8.176D-09  1.612D-09
 2293 2709     0     0  con    0  1.0D+00  3.2D-04  6.773D-09  1.612D-09
 2294 2710     0     0  con    0  1.0D+00  3.2D-04  1.142D-09  1.612D-09
 2295 2714     0     0  con    3  3.3D-01  4.8D-05  1.241D-09  1.612D-09
 2296 2716     0     0  con    1  2.1D-01  4.9D-05  1.436D-09  1.612D-09
 2297 2718     0     0  con    1  2.1D-01  4.7D-05  1.659D-09  1.612D-09
 2298 2720     0     0  con    1  2.1D-01  3.6D-05  1.733D-09  1.612D-09
 2299 2722     0     0  con    1  2.3D-01  5.6D-05  1.992D-09  1.612D-09
 2300 2724     0     0  con    1  1.8D-01  8.7D-05  3.087D-09  1.612D-09
 2301 2726     0     0  con    1  2.3D-01  7.0D-05  2.860D-09  1.612D-09
 2302 2728     0     0  con    1  2.4D-01  6.5D-05  2.931D-09  1.612D-09
 2303 2730     0     0  con    1  1.7D-01  2.2D-04  2.129D-09  1.612D-09
 2304 2732     0     0  con    1  2.3D-01  1.5D-04  2.528D-09  1.612D-09
 2305 2734     0     0  con    1  1.4D-01  9.8D-05  4.546D-09  1.612D-09
 2306 2736     0     0  con    1  2.8D-01  2.0D-04  4.245D-09  1.612D-09
 2307 2737     0     0  con    0  1.0D+00  8.2D-04  5.995D-09  1.612D-09
 2308 2738     0     0  con    0  1.0D+00  6.0D-04  7.086D-09  1.611D-09
 2309 2739     0     0  con    0  1.0D+00  7.0D-04  7.608D-09  1.611D-09
 2310 2740     0     0  con    0  1.0D+00  1.4D-03  6.937D-09  1.610D-09
 2311 2742     0     0  con    1  7.3D-02  2.7D-04  8.638D-09  1.610D-09
 2312 2743     0     0  con    0  1.0D+00  4.1D-04  5.393D-09  1.610D-09
 2313 2744     0     0  con    0  1.0D+00  2.1D-04  2.979D-09  1.609D-09
 2314 2745     0     0  con    0  1.0D+00  3.4D-04  4.377D-09  1.609D-09
 2315 2747     0     0  con    1  1.1D-01  5.2D-04  5.787D-09  1.609D-09
 2316 2748     0     0  con    0  1.0D+00  5.9D-04  6.799D-09  1.609D-09
 2317 2750     0     0  con    1  1.4D-01  1.6D-04  4.523D-09  1.609D-09
 2318 2751     0     0  con    0  1.0D+00  8.7D-04  2.682D-09  1.609D-09
 2319 2752     0     0  con    0  1.0D+00  3.7D-04  1.790D-09  1.609D-09
 2320 2753     0     0  con    0  1.0D+00  4.0D-04  1.401D-09  1.608D-09
 2321 2754     0     0  con    0  1.0D+00  2.8D-04  2.225D-09  1.608D-09
 2322 2755     0     0  con    0  1.0D+00  4.7D-04  4.735D-09  1.608D-09
 2323 2757     0     0  con    1  5.1D-01  4.9D-04  1.412D-08  1.608D-09
 2324 2758     0     0  con    0  1.0D+00  3.9D-04  1.059D-08  1.607D-09
 2325 2759     0     0  con    0  1.0D+00  1.4D-03  5.359D-09  1.607D-09
 2326 2760     0     0  con    0  1.0D+00  4.0D-04  6.960D-09  1.607D-09
 2327 2761     0     0  con    0  1.0D+00  1.9D-03  6.255D-09  1.606D-09
 2328 2763     0     0  con    1  1.0D-01  3.3D-04  1.330D-08  1.606D-09
 2329 2764     0     0  con    0  1.0D+00  1.0D-03  9.580D-09  1.606D-09
 2330 2765     0     0  con    0  1.0D+00  2.4D-03  1.182D-08  1.605D-09
 2331 2766     0     0  con    0  1.0D+00  1.1D-03  2.545D-08  1.605D-09
 2332 2767     0     0  con    0  1.0D+00  5.1D-04  1.676D-08  1.604D-09
 2333 2768     0     0  con    0  1.0D+00  2.1D-03  2.347D-09  1.603D-09
 2334 2770     0     0  con    1  4.2D-01  5.5D-04  7.997D-09  1.603D-09
 2335 2771     0     0  con    0  1.0D+00  9.2D-04  6.113D-09  1.603D-09
 2336 2772     0     0  con    0  1.0D+00  6.0D-04  5.232D-09  1.603D-09
 2337 2773     0     0  con    0  1.0D+00  4.9D-04  7.280D-09  1.603D-09
 2338 2774     0     0  con    0  1.0D+00  1.2D-03  1.082D-08  1.602D-09
 2339 2775     0     0  con    0  1.0D+00  2.4D-03  1.348D-08  1.602D-09
 2340 2777     0     0  con    1  2.4D-01  9.8D-04  1.923D-08  1.602D-09
 2341 2778     0     0  con    0  1.0D+00  4.2D-03  1.327D-08  1.602D-09
 2342 2779     0     0  con    0  1.0D+00  7.0D-04  1.936D-08  1.602D-09
 2343 2780     0     0  con    0  1.0D+00  4.1D-04  7.354D-09  1.601D-09
 2344 2781     0     0  con    0  1.0D+00  8.4D-04  5.984D-09  1.601D-09
 2345 2782     0     0  con    0  1.0D+00  7.8D-04  4.611D-09  1.600D-09
 2346 2784     0     0  con    1  2.8D-01  5.6D-04  8.974D-09  1.600D-09
 2347 2785     0     0  con    0  1.0D+00  1.1D-03  7.184D-09  1.600D-09
 2348 2787     0     0  con    1  4.2D-01  6.7D-04  6.326D-09  1.600D-09
 2349 2788     0     0  con    0  1.0D+00  1.3D-03  6.999D-09  1.600D-09
 2350 2792     0     0  con    3  3.1D-01  2.2D-04  7.422D-09  1.600D-09
 2351 2794     0     0  con    1  2.6D-01  5.3D-04  7.752D-09  1.600D-09
 2352 2795     0     0  con    0  1.0D+00  2.5D-03  8.842D-09  1.600D-09
 2353 2796     0     0  con    0  1.0D+00  1.2D-03  7.642D-09  1.599D-09
 2354 2797     0     0  con    0  1.0D+00  3.0D-03  2.970D-08  1.599D-09
 2355 2798     0     0  con    0  1.0D+00  6.7D-04  1.857D-08  1.597D-09
 2356 2799     0     0  con    0  1.0D+00  1.4D-03  9.782D-09  1.597D-09
 2357 2800     0     0  con    0  1.0D+00  1.9D-03  4.671D-09  1.596D-09
 2358 2801     0     0  con    0  1.0D+00  3.4D-04  8.284D-09  1.595D-09
 2359 2802     0     0  con    0  1.0D+00  2.7D-04  5.030D-09  1.595D-09
 2360 2803     0     0  con    0  1.0D+00  6.4D-04  3.515D-09  1.595D-09
 2361 2804     0     0  con    0  1.0D+00  8.0D-04  4.853D-09  1.595D-09
 2362 2805     0     0  con    0  1.0D+00  1.0D-03  5.616D-09  1.595D-09
 2363 2806     0     0  con    0  1.0D+00  3.6D-03  8.799D-09  1.594D-09
 2364 2807     0     0  con    0  1.0D+00  1.7D-03  3.687D-09  1.594D-09
 2365 2808     0     0  con    0  1.0D+00  1.4D-03  5.727D-09  1.594D-09
 2366 2810     0     0  con    1  3.3D-01  6.1D-04  1.499D-08  1.594D-09
 2367 2811     0     0  con    0  1.0D+00  1.9D-04  8.371D-09  1.593D-09
 2368 2812     0     0  con    0  1.0D+00  6.2D-04  1.185D-09  1.593D-09
 2369 2813     0     0  con    0  1.0D+00  1.4D-03  5.198D-09  1.593D-09
 2370 2814     0     0  con    0  1.0D+00  1.6D-03  7.175D-09  1.593D-09
 2371 2816     0     0  con    1  3.0D-01  5.0D-04  3.443D-09  1.593D-09
 2372 2826     0     0  con    9  6.3D-02  2.5D-05  3.187D-09  1.593D-09
 2373 2828     0     0  con    1  2.5D-01  1.8D-04  1.511D-09  1.593D-09
 2374 2830     0     0  con    1  2.7D-01  2.4D-04  1.612D-09  1.593D-09
 2375 2832     0     0  con    1  2.8D-01  3.0D-04  2.332D-09  1.593D-09
 2376 2833     0     0  con    0  1.0D+00  1.3D-03  9.214D-09  1.593D-09
 2377 2834     0     0  con    0  1.0D+00  8.1D-04  1.231D-08  1.593D-09
 2378 2835     0     0  con    0  1.0D+00  4.7D-04  9.616D-09  1.593D-09
 2379 2836     0     0  con    0  1.0D+00  1.5D-03  3.661D-09  1.592D-09
 2380 2837     0     0  con    0  1.0D+00  9.6D-04  6.061D-09  1.592D-09
 2381 2838     0     0  con    0  1.0D+00  1.8D-03  5.879D-09  1.592D-09
 2382 2840     0     0  con    1  2.1D-01  7.7D-04  7.170D-09  1.592D-09
 2383 2841     0     0  con    0  1.0D+00  1.8D-03  5.950D-09  1.592D-09
 2384 2842     0     0  con    0  1.0D+00  8.5D-04  5.894D-09  1.592D-09
 2385 2843     0     0  con    0  1.0D+00  1.4D-03  2.956D-09  1.592D-09
 2386 2845     0     0  con    1  1.2D-01  4.7D-04  6.139D-09  1.592D-09
 2387 2846     0     0  con    0  1.0D+00  5.8D-04  7.603D-09  1.592D-09
 2388 2847     0     0  con    0  1.0D+00  9.7D-04  1.948D-08  1.591D-09
 2389 2848     0     0  con    0  1.0D+00  9.3D-04  3.167D-09  1.591D-09
 2390 2849     0     0  con    0  1.0D+00  7.8D-05  2.582D-09  1.591D-09
 2391 2850     0     0  con    0  1.0D+00  8.0D-04  3.321D-09  1.591D-09
 2392 2851     0     0  con    0  1.0D+00  8.3D-04  9.121D-09  1.590D-09
 2393 2853     0     0  con    1  1.8D-01  1.2D-03  9.145D-09  1.590D-09
 2394 2854     0     0  con    0  1.0D+00  2.4D-03  3.663D-09  1.590D-09
 2395 2856     0     0  con    1  2.8D-01  6.7D-04  4.097D-09  1.590D-09
 2396 2858     0     0  con    1  2.6D-01  8.1D-04  4.554D-09  1.590D-09
 2397 2860     0     0  con    1  2.9D-01  7.5D-04  3.372D-09  1.590D-09
 2398 2862     0     0  con    1  2.8D-01  6.0D-04  6.657D-09  1.590D-09
 2399 2864     0     0  con    1  2.9D-01  3.5D-04  6.881D-09  1.590D-09
 2400 2865     0     0  con    0  1.0D+00  1.1D-03  4.711D-09  1.590D-09
 2401 2867     0     0  con    1  2.5D-01  1.0D-03  8.883D-09  1.590D-09
 2402 2868     0     0  con    0  1.0D+00  1.8D-03  8.695D-09  1.590D-09
 2403 2870     0     0  con    1  2.2D-01  1.8D-03  1.028D-08  1.589D-09
 2404 2871     0     0  con    0  1.0D+00  2.7D-03  1.019D-08  1.588D-09
 2405 2872     0     0  con    0  1.0D+00  2.5D-03  3.000D-08  1.586D-09
 2406 2873     0     0  con    0  1.0D+00  3.0D-03  2.674D-08  1.583D-09
 2407 2875     0     0  con    1  4.8D-01  6.0D-03  2.442D-08  1.582D-09
 2408 2876     0     0  con    0  1.0D+00  7.1D-03  8.815D-09  1.580D-09
 2409 2877     0     0  con    0  1.0D+00  3.1D-03  3.828D-09  1.580D-09
 2410 2879     0     0  con    1  2.5D-01  2.3D-04  3.119D-09  1.580D-09
 2411 2881     0     0  con    1  2.7D-01  4.6D-04  1.916D-09  1.580D-09
 2412 2883     0     0  con    1  2.3D-01  9.7D-04  4.446D-09  1.580D-09
 2413 2885     0     0  con    1  3.1D-01  6.4D-04  2.594D-09  1.580D-09
 2414 2886     0     0  con    0  1.0D+00  2.3D-03  5.557D-09  1.580D-09
 2415 2888     0     0  con    1  1.5D-01  1.1D-04  4.812D-09  1.580D-09
 2416 2889     0     0  con    0  1.0D+00  7.6D-04  6.113D-09  1.580D-09
 2417 2890     0     0  con    0  1.0D+00  1.3D-03  7.955D-09  1.580D-09
 2418 2891     0     0  con    0  1.0D+00  1.5D-03  6.724D-09  1.579D-09
 2419 2893     0     0  con    1  2.3D-01  8.1D-04  1.569D-08  1.579D-09
 2420 2894     0     0  con    0  1.0D+00  1.0D-03  3.069D-09  1.578D-09
 2421 2895     0     0  con    0  1.0D+00  7.4D-04  5.275D-09  1.578D-09
 2422 2896     0     0  con    0  1.0D+00  1.5D-03  7.131D-09  1.578D-09
 2423 2897     0     0  con    0  1.0D+00  2.3D-03  9.391D-09  1.577D-09
 2424 2898     0     0  con    0  1.0D+00  3.9D-03  1.093D-08  1.577D-09
 2425 2899     0     0  con    0  1.0D+00  4.8D-04  7.455D-09  1.577D-09
 2426 2900     0     0  con    0  1.0D+00  5.2D-04  1.462D-08  1.576D-09
 2427 2901     0     0  con    0  1.0D+00  9.2D-04  1.265D-08  1.576D-09
 2428 2902     0     0  con    0  1.0D+00  3.7D-03  1.863D-08  1.575D-09
 2429 2903     0     0  con    0  1.0D+00  2.5D-04  3.355D-09  1.575D-09
 2430 2904     0     0  con    0  1.0D+00  2.7D-04  3.012D-09  1.575D-09
 2431 2905     0     0  con    0  1.0D+00  1.8D-04  4.802D-09  1.575D-09
 2432 2906     0     0  con    0  1.0D+00  5.1D-04  1.481D-08  1.574D-09
 2433 2907     0     0  con    0  1.0D+00  6.2D-04  2.410D-09  1.574D-09
 2434 2908     0     0  con    0  1.0D+00  5.0D-04  4.006D-09  1.574D-09
 2435 2909     0     0  con    0  1.0D+00  7.6D-04  6.180D-09  1.574D-09
 2436 2910     0     0  con    0  1.0D+00  3.1D-04  6.025D-09  1.574D-09
 2437 2911     0     0  con    0  1.0D+00  4.7D-04  2.198D-09  1.574D-09
 2438 2912     0     0  con    0  1.0D+00  1.5D-04  7.536D-09  1.574D-09
 2439 2913     0     0  con    0  1.0D+00  4.2D-04  1.437D-08  1.573D-09
 2440 2914     0     0  con    0  1.0D+00  4.5D-04  1.289D-08  1.573D-09
 2441 2916     0     0  con    1  4.8D-01  1.4D-03  1.369D-08  1.573D-09
 2442 2917     0     0  con    0  1.0D+00  3.3D-04  5.339D-09  1.573D-09
 2443 2918     0     0  con    0  1.0D+00  1.8D-04  4.770D-09  1.573D-09
 2444 2919     0     0  con    0  1.0D+00  3.8D-04  9.044D-09  1.573D-09
 2445 2920     0     0  con    0  1.0D+00  5.4D-04  9.619D-09  1.572D-09
 2446 2922     0     0  con    1  3.2D-01  2.7D-04  1.685D-08  1.572D-09
 2447 2923     0     0  con    0  1.0D+00  8.0D-04  8.214D-09  1.572D-09
 2448 2924     0     0  con    0  1.0D+00  2.6D-04  1.567D-09  1.572D-09
 2449 2925     0     0  con    0  1.0D+00  1.0D-04  4.294D-09  1.572D-09
 2450 2926     0     0  con    0  1.0D+00  6.9D-05  6.644D-09  1.572D-09
 2451 2927     0     0  con    0  1.0D+00  2.5D-04  1.065D-08  1.572D-09
 2452 2928     0     0  con    0  1.0D+00  2.9D-04  1.528D-08  1.572D-09
 2453 2929     0     0  con    0  1.0D+00  6.0D-04  1.684D-08  1.572D-09
