RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          479     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   72   80     0     0  con    0  1.0D+00  2.0D-02  1.037D-06  5.938D-07
   73   81     0     0  con    0  1.0D+00  1.6D-02  8.325D-07  5.916D-07
   74   82     0     0  con    0  1.0D+00  2.1D-02  1.483D-06  5.876D-07
   75   83     0     0  con    0  1.0D+00  5.2D-02  2.623D-06  5.752D-07
   76   84     0     0  con    0  1.0D+00  1.1D-01  3.784D-06  5.465D-07
   77   85     0     0  con    0  1.0D+00  1.9D-01  6.079D-06  5.011D-07
   78   87     0     0  con    1  2.3D-01  9.2D-02  5.217D-06  4.832D-07
   79   88     0     0  con    0  1.0D+00  9.0D-02  2.747D-06  4.549D-07
   80   89     0     0  con    0  1.0D+00  1.4D-02  4.380D-07  4.448D-07
   81   90     0     0  con    0  1.0D+00  1.1D-02  3.474D-07  4.428D-07
   82   91     0     0  con    0  1.0D+00  1.0D-02  1.097D-06  4.383D-07
   83   92     0     0  con    0  1.0D+00  1.4D-02  1.893D-06  4.282D-07
   84   93     0     0  con    0  1.0D+00  5.0D-02  8.496D-06  4.281D-07
   85   94     0     0  con    0  1.0D+00  4.4D-02  4.233D-06  4.053D-07
   86   95     0     0  con    0  1.0D+00  8.7D-02  1.359D-06  3.898D-07
   87   96     0     0  con    0  1.0D+00  9.7D-02  1.222D-06  3.807D-07
   88   97     0     0  con    0  1.0D+00  7.4D-02  1.103D-06  3.683D-07
   89   98     0     0  con    0  1.0D+00  1.2D-01  2.381D-06  3.644D-07
   90   99     0     0  con    0  1.0D+00  3.3D-02  2.061D-06  3.620D-07
   91  100     0     0  con    0  1.0D+00  2.9D-02  1.183D-06  3.572D-07
   92  101     0     0  con    0  1.0D+00  2.3D-02  7.992D-07  3.554D-07
   93  102     0     0  con    0  1.0D+00  4.8D-02  1.028D-06  3.530D-07
   94  103     0     0  con    0  1.0D+00  3.1D-02  9.074D-07  3.522D-07
   95  104     0     0  con    0  1.0D+00  1.4D-02  1.403D-06  3.505D-07
   96  105     0     0  con    0  1.0D+00  3.7D-02  1.543D-06  3.465D-07
   97  106     0     0  con    0  1.0D+00  3.2D-02  1.989D-06  3.418D-07
   98  107     0     0  con    0  1.0D+00  6.9D-02  8.652D-07  3.352D-07
   99  108     0     0  con    0  1.0D+00  4.6D-02  1.305D-06  3.270D-07
  100  109     0     0  con    0  1.0D+00  6.2D-02  1.236D-06  3.118D-07
  101  110     0     0  con    0  1.0D+00  1.2D-01  8.251D-07  2.929D-07
  102  112     0     0  con    1  1.9D-01  4.2D-02  1.825D-06  2.858D-07
  103  113     0     0  con    0  1.0D+00  3.2D-02  6.104D-07  2.778D-07
